DATAFLOW,FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,OBS_VALUE
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2010,7200.79768450814
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2011,7427.42613979622
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2012,7135.15096470391
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2013,7066.45239067286
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2014,7034.3610676762
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2015,7097.715673367
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2016,6832.39336926029
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2017,6700.43778746698
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2018,6431.3468717128
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2019,6245.90000900581
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1990,18852.363581023
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1991,17881.4380991401
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1992,16730.5430601776
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1993,15912.9087557297
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1994,15278.7373930484
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1995,14497.0820531846
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1996,14089.1557330219
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1997,14053.1378786577
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1998,14019.5930889853
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,1999,13604.9596397132
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2000,13346.0932160213
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2001,13216.6122964339
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2002,13120.556532478
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2003,13070.8250057411
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2004,13281.3164028964
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belarus,Gigagrams (Gg) CO2 equivalent,2005,13699.4774385557
